# Harmony State File
# States: 1398

B5-D5 D6-E6 C1-D1
B5-D5 D6-E6 C3-C4
B5-D5 D6-E6 D2-D3
B5-D5 D6-E6 C3-C6
B5-D5 D6-E6 B6-C6
B5-D5 D6-E6 A3-A6
B5-D5 D6-E6 A1-D1
B5-D5 D6-E6 A1-A5
B5-D5 D6-E6 B2-F2
B5-D5 D6-E6 B2-C2
B5-D5 D6-E6 E2-E3
B5-D5 D6-E6 A2-A6
B5-D5 D6-E6 F2-F4
B5-D5 D6-E6 B2-B4
B5-D5 D6-E6 B1-B3
B5-D5 D6-E6 B3-B6
B5-D5 D6-E6 A5-E5
B5-D5 D6-E6 A3-F3
B5-D5 D6-E6 A2-A4
B5-D5 D6-E6 C4-C6
B5-D5 D6-E6 B4-B6
B5-D5 D6-E6 A1-E1
B5-D5 D6-E6 A3-B3
B5-D5 D6-E6 E3-E4
B5-D5 D6-E6 A2-A3
B5-D5 D6-E6 A2-A5
B5-D5 D6-E6 A5-C5
B5-D5 D6-E6 F1-F4
B5-D5 D6-E6 D1-F1
B5-D5 D6-E6 C3-C5
B5-D5 D6-E6 A3-A4
B5-D5 D6-E6 A1-A3
B5-D5 D6-E6 B1-B2
B5-D5 D6-E6 C4-E4
B5-D5 D6-E6 C5-F5
B5-D5 D6-E6 C4-D4
B5-D5 D6-E6 C4-C5
B5-D5 D6-E6 C4-F4
B5-D5 D6-E6 A1-F1
B5-D5 D6-E6 E4-F4
B5-D5 D6-E6 D1-D3
B5-D5 D6-E6 A4-A6
B5-D5 D6-E6 B1-B4
B5-D5 D6-E6 C6-F6
B5-D5 D6-E6 A4-F4
B5-D5 D6-E6 F1-F2
B5-D5 D6-E6 E2-E4
B5-D5 D6-E6 A1-A2
B5-D5 D6-E6 A4-E4
B5-D5 D6-E6 D1-D2
B5-D5 D6-E6 A4-C4
B5-D5 D6-E6 A4-A5 C4-F4
B5-D5 D6-E6 A1-A6 F2-F4
B5-D5 D6-E6 A4-A5 B6-C6
B5-D5 D6-E6 B2-B6 A3-B3
B5-D5 D6-E6 A4-A5 A1-A3
B5-D5 D6-E6 A4-A5 A1-E1
B5-D5 D6-E6 B3-B4 E3-E4
B5-D5 D6-E6 B3-B4 A4-C4
B5-D5 D6-E6 B3-B4 C4-D4
B5-D5 D6-E6 B2-B3 A1-A2
B5-D5 D6-E6 A1-A4 F1-F2
B5-D5 D6-E6 A1-A4 B2-F2
B5-D5 D6-E6 B2-B6 A1-A5
B5-D5 D6-E6 B3-B4 D1-D3
B5-D5 D6-E6 A1-A4 B2-B4
B5-D5 D6-E6 B2-B3 A2-A4
B5-D5 D6-E6 B2-B6 F2-F4
B5-D5 D6-E6 B2-B6 A4-C4
B5-D5 D6-E6 B3-B4 A3-A4
B5-D5 D6-E6 B3-B4 A4-A5
B5-D5 D6-E6 A1-A4 C4-E4
B5-D5 D6-E6 A1-A6 B3-B6
B5-D5 D6-E6 B2-B3 A3-A4
B5-D5 D6-E6 B2-B3 D1-D2
B5-D5 D6-E6 B2-B6 B1-B3
B5-D5 D6-E6 B2-B6 C4-F4
B5-D5 D6-E6 B3-B4 A1-F1
B5-D5 D6-E6 A1-A6 B1-B3
B5-D5 D6-E6 B2-B6 A3-A4
B5-D5 D6-E6 B3-B4 A5-E5
B5-D5 D6-E6 A4-A5 D1-D3
B5-D5 D6-E6 B2-B6 C1-D1
B5-D5 D6-E6 A4-A5 B3-B6
B5-D5 D6-E6 A4-A5 C4-C5
B5-D5 D6-E6 A4-A5 D1-D2
B5-D5 D6-E6 A4-A5 F1-F2
B5-D5 D6-E6 B2-B6 A1-A2
B5-D5 D6-E6 B2-B6 E2-E4
